Frame,ID,State,Confidence
32,21,SITTING,0.15
32,22,STANDING,0.33
32,13,SITTING,0.51
33,1,SITTING,0.87
33,2,SITTING,0.86
33,3,STANDING,0.8
33,4,SITTING,0.68
33,5,STANDING,0.84
33,6,SITTING,0.66
33,7,SITTING,0.73
33,8,STANDING,0.67
33,9,STANDING,0.67
33,10,SITTING,0.74
33,11,STANDING,0.52
33,19,SITTING,0.62
33,21,SITTING,0.14
33,22,STANDING,0.32
33,13,SITTING,0.48
34,1,SITTING,0.88
34,2,SITTING,0.87
34,3,STANDING,0.81
34,4,SITTING,0.67
34,5,STANDING,0.84
34,6,SITTING,0.66
34,7,SITTING,0.75
34,8,STANDING,0.66
34,9,STANDING,0.67
34,10,SITTING,0.75
34,11,STANDING,0.53
34,19,SITTING,0.61
34,21,SITTING,0.14
34,22,STANDING,0.34
34,13,SITTING,0.51
35,1,SITTING,0.88
35,2,SITTING,0.86
35,3,STANDING,0.82
35,4,SITTING,0.64
35,5,STANDING,0.84
35,6,SITTING,0.65
35,7,SITTING,0.74
35,8,STANDING,0.66
35,9,STANDING,0.68
35,10,SITTING,0.66
35,11,STANDING,0.49
35,19,SITTING,0.57
35,21,SITTING,0.14
35,22,STANDING,0.36
35,13,SITTING,0.5
36,1,SITTING,0.88
36,2,SITTING,0.86
36,3,STANDING,0.82
36,4,SITTING,0.7
36,5,STANDING,0.84
36,6,SITTING,0.58
36,7,SITTING,0.74
36,8,STANDING,0.66
36,9,STANDING,0.67
36,10,SITTING,0.68
36,11,STANDING,0.51
36,19,SITTING,0.45
36,21,SITTING,0.14
36,22,STANDING,0.27
36,13,SITTING,0.49
37,1,SITTING,0.88
37,2,SITTING,0.86
37,3,STANDING,0.81
37,4,SITTING,0.63
37,5,STANDING,0.84
37,6,SITTING,0.67
37,7,SITTING,0.77
37,8,STANDING,0.65
37,9,STANDING,0.67
37,10,SITTING,0.66
37,11,STANDING,0.62
37,19,SITTING,0.63
37,21,SITTING,0.14
37,22,STANDING,0.41
37,13,SITTING,0.49
38,1,SITTING,0.89
38,2,SITTING,0.86
38,3,STANDING,0.82
38,4,SITTING,0.59
38,5,STANDING,0.84
38,6,SITTING,0.65
38,7,SITTING,0.77
