Frame,ID,State,Confidence
42,10,SITTING,0.57
42,11,STANDING,0.77
42,12,SITTING,0.59
42,13,STANDING,0.7
42,14,STANDING,0.72
42,15,SITTING,0.65
42,16,SITTING,0.6
42,17,SITTING,0.59
43,1,STANDING,0.89
43,2,SITTING,0.89
43,3,SITTING,0.89
43,4,SITTING,0.89
43,5,SITTING,0.86
43,6,SITTING,0.88
43,7,SITTING,0.83
43,8,STANDING,0.86
43,9,SITTING,0.82
43,10,SITTING,0.65
43,11,STANDING,0.8
43,12,SITTING,0.57
43,13,STANDING,0.7
43,14,STANDING,0.66
43,15,SITTING,0.68
43,16,SITTING,0.62
43,17,SITTING,0.61
44,1,STANDING,0.89
44,2,SITTING,0.89
44,3,SITTING,0.88
44,4,SITTING,0.89
44,5,SITTING,0.86
44,6,SITTING,0.88
44,7,SITTING,0.85
44,8,STANDING,0.86
44,9,SITTING,0.82
44,10,SITTING,0.67
44,11,STANDING,0.81
44,12,SITTING,0.61
44,13,STANDING,0.7
44,14,STANDING,0.61
44,15,SITTING,0.67
44,16,SITTING,0.64
44,17,SITTING,0.59
45,1,STANDING,0.89
45,2,SITTING,0.89
45,3,SITTING,0.89
45,4,SITTING,0.89
45,5,SITTING,0.86
45,6,SITTING,0.88
45,7,SITTING,0.84
45,8,STANDING,0.86
45,9,SITTING,0.82
45,10,SITTING,0.75
45,11,STANDING,0.84
45,12,SITTING,0.57
45,13,STANDING,0.7
45,14,STANDING,0.73
45,15,SITTING,0.68
45,16,SITTING,0.66
45,17,SITTING,0.6
46,1,STANDING,0.87
46,2,SITTING,0.89
46,3,SITTING,0.89
46,4,SITTING,0.83
46,5,SITTING,0.87
46,6,SITTING,0.85
46,7,SITTING,0.85
46,8,STANDING,0.85
46,9,SITTING,0.82
46,10,SITTING,0.5
46,11,STANDING,0.82
46,12,SITTING,0.71
46,13,STANDING,0.79
46,14,STANDING,0.85
46,15,SITTING,0.7
46,16,SITTING,0.66
46,17,SITTING,0.53
47,1,STANDING,0.88
47,2,SITTING,0.88
47,3,SITTING,0.89
47,4,SITTING,0.83
47,5,SITTING,0.86
47,6,SITTING,0.81
47,7,SITTING,0.85
47,8,STANDING,0.85
47,9,SITTING,0.82
47,10,SITTING,0.48
47,11,STANDING,0.79
47,12,SITTING,0.69
47,13,STANDING,0.79
47,14,STANDING,0.85
47,15,SITTING,0.69
47,16,SITTING,0.69
47,17,SITTING,0.53
47,18,SITTING,0.55
48,1,STANDING,0.88
48,2,SITTING,0.88
48,3,SITTING,0.89
48,4,SITTING,0.83
48,5,SITTING,0.86
48,6,SITTING,0.84
48,7,SITTING,0.85
48,8,STANDING,0.85
48,9,SITTING,0.82
48,10,SITTING,0.47
48,11,STANDING,0.74
48,12,SITTING,0.7
48,13,STANDING,0.8
48,14,STANDING,0.85
48,15,SITTING,0.69
48,16,SITTING,0.65
48,17,SITTING,0.54
48,18,SITTING,0.55
49,1,STANDING,0.88
49,2,SITTING,0.88
49,3,SITTING,0.89
49,4,SITTING,0.82
49,5,SITTING,0.86
49,6,SITTING,0.83
49,7,SITTING,0.85
49,8,STANDING,0.85
49,9,SITTING,0.82
49,10,SITTING,0.46
49,11,STANDING,0.72
49,12,SITTING,0.7
49,13,STANDING,0.8
49,14,STANDING,0.86
49,15,SITTING,0.69
49,16,SITTING,0.65
49,17,SITTING,0.54
49,18,SITTING,0.57
50,1,STANDING,0.87
50,2,SITTING,0.88
50,3,SITTING,0.89
50,4,SITTING,0.83
50,5,SITTING,0.87
50,6,SITTING,0.76
50,7,SITTING,0.84
50,8,STANDING,0.84
50,9,SITTING,0.82
50,10,SITTING,0.29
50,11,STANDING,0.77
50,12,SITTING,0.71
50,13,STANDING,0.8
50,14,STANDING,0.84
50,15,SITTING,0.7
50,16,SITTING,0.46
50,17,SITTING,0.54
50,18,SITTING,0.6
51,1,STANDING,0.87
51,2,SITTING,0.88
51,3,SITTING,0.89
51,4,SITTING,0.83
51,5,SITTING,0.86
51,6,SITTING,0.78
51,7,SITTING,0.85
51,8,STANDING,0.84
51,9,SITTING,0.81
51,10,SITTING,0.17
51,11,STANDING,0.77
51,12,SITTING,0.71
51,13,STANDING,0.81
51,14,STANDING,0.84
51,15,SITTING,0.71
51,16,SITTING,0.47
51,17,SITTING,0.55
51,18,SITTING,0.6
52,1,STANDING,0.87
52,2,SITTING,0.88
52,3,SITTING,0.89
52,4,SITTING,0.82
52,5,SITTING,0.87
52,6,SITTING,0.82
52,7,SITTING,0.84
52,8,STANDING,0.81
52,9,SITTING,0.81
52,10,SITTING,0.52
52,11,STANDING,0.76
52,12,SITTING,0.71
52,13,STANDING,0.81
52,14,STANDING,0.83
52,15,SITTING,0.74
52,16,SITTING,0.5
52,17,SITTING,0.55
52,18,SITTING,0.58
53,1,STANDING,0.87
53,2,SITTING,0.88
53,3,SITTING,0.89
53,4,SITTING,0.82
53,5,SITTING,0.86
53,6,SITTING,0.82
53,7,SITTING,0.84
53,8,STANDING,0.8
53,9,SITTING,0.81
53,10,SITTING,0.54
53,11,STANDING,0.82
53,12,SITTING,0.71
53,13,STANDING,0.81
53,14,STANDING,0.84
53,15,SITTING,0.73
53,16,SITTING,0.5
53,17,SITTING,0.55
53,18,SITTING,0.6
54,1,STANDING,0.87
54,2,SITTING,0.88
54,3,SITTING,0.89
54,4,SITTING,0.83
54,5,SITTING,0.85
54,6,SITTING,0.8
54,7,SITTING,0.84
54,8,STANDING,0.79
54,9,SITTING,0.81
54,10,SITTING,0.43
54,11,STANDING,0.8
54,12,SITTING,0.69
54,13,STANDING,0.8
54,14,STANDING,0.85
54,15,SITTING,0.72
54,16,SITTING,0.53
54,17,SITTING,0.54
54,18,SITTING,0.64
55,1,STANDING,0.87
55,2,SITTING,0.88
55,3,SITTING,0.88
55,4,SITTING,0.83
55,5,SITTING,0.85
55,6,SITTING,0.83
55,7,SITTING,0.85
55,8,STANDING,0.78
55,9,SITTING,0.81
55,10,SITTING,0.43
55,11,STANDING,0.8
55,12,SITTING,0.64
55,13,STANDING,0.8
55,14,STANDING,0.85
55,15,SITTING,0.72
55,16,SITTING,0.53
55,17,SITTING,0.51
55,18,SITTING,0.65
56,1,STANDING,0.87
56,2,SITTING,0.88
56,3,SITTING,0.88
56,4,SITTING,0.84
56,5,SITTING,0.85
56,6,SITTING,0.83
56,7,SITTING,0.85
56,8,STANDING,0.78
56,9,SITTING,0.81
56,10,SITTING,0.52
56,11,STANDING,0.78
56,12,SITTING,0.58
56,13,STANDING,0.79
56,14,STANDING,0.84
56,15,SITTING,0.73
56,16,SITTING,0.54
56,17,SITTING,0.49
56,18,SITTING,0.63
57,1,STANDING,0.87
57,2,SITTING,0.88
57,3,SITTING,0.88
57,4,SITTING,0.84
57,5,SITTING,0.85
57,6,SITTING,0.83
57,7,SITTING,0.85
57,8,STANDING,0.79
57,9,SITTING,0.8
57,10,SITTING,0.36
57,11,STANDING,0.79
57,12,SITTING,0.58
57,13,STANDING,0.79
57,14,STANDING,0.82
57,15,SITTING,0.73
57,16,SITTING,0.45
57,17,SITTING,0.48
57,18,SITTING,0.64
58,1,STANDING,0.87
58,2,SITTING,0.88
58,3,SITTING,0.88
58,4,SITTING,0.84
58,5,SITTING,0.86
58,6,SITTING,0.81
58,7,SITTING,0.86
58,8,STANDING,0.84
58,9,SITTING,0.8
58,10,SITTING,0.42
58,11,STANDING,0.74
58,12,SITTING,0.53
58,13,STANDING,0.79
58,14,STANDING,0.86
58,15,SITTING,0.73
58,16,SITTING,0.62
58,17,SITTING,0.49
58,18,SITTING,0.64
59,1,STANDING,0.87
59,2,SITTING,0.88
59,3,SITTING,0.88
59,4,SITTING,0.84
59,5,SITTING,0.85
59,6,SITTING,0.81
59,7,SITTING,0.86
59,8,STANDING,0.85
59,9,SITTING,0.78
59,10,SITTING,0.47
59,11,STANDING,0.77
59,12,SITTING,0.53
59,13,STANDING,0.78
59,14,STANDING,0.85
59,15,SITTING,0.74
59,16,SITTING,0.53
59,17,SITTING,0.54
59,18,SITTING,0.62
60,1,STANDING,0.87
60,2,SITTING,0.88
60,3,SITTING,0.88
60,4,SITTING,0.84
60,5,SITTING,0.86
60,6,SITTING,0.81
60,7,SITTING,0.85
60,8,STANDING,0.85
60,9,SITTING,0.79
60,10,SITTING,0.48
60,11,STANDING,0.77
60,12,SITTING,0.51
60,13,STANDING,0.78
60,14,STANDING,0.85
60,15,SITTING,0.72
60,16,SITTING,0.55
60,17,SITTING,0.52
60,18,SITTING,0.62
61,1,STANDING,0.89
61,2,SITTING,0.88
61,3,SITTING,0.87
61,4,SITTING,0.87
61,5,SITTING,0.85
61,6,SITTING,0.83
61,7,SITTING,0.88
61,8,STANDING,0.84
61,9,SITTING,0.8
61,10,SITTING,0.66
61,11,STANDING,0.84
61,12,SITTING,0.53
61,13,STANDING,0.79
61,14,STANDING,0.75
61,15,SITTING,0.61
